epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.104,3.09552,4.39694,4.23033,0.00182,0.49624,0.03767,0.00611,2.65874,4.56184,4.15386,0.00019992,0.00019992,0.00019992
2,559.383,3.06122,4.30573,4.1452,0.00148,0.50376,0.06037,0.01681,2.69447,4.45772,4.10982,0.000387966,0.000387966,0.000387966
3,835.827,3.0943,4.21329,4.03248,0.00158,0.49624,0.02136,0.00609,2.52964,4.23758,3.92661,0.000555394,0.000555394,0.000555394
4,1108.24,3.05629,4.12524,3.88205,0.57408,0.04511,0.00378,0.00097,2.92178,13.5149,4.65056,0.000702207,0.000702207,0.000702207
